timestamp,speaker,words,tags
00:15:00,Art Pages,"What Mr. Gilberto [inaudible] just said is that he is manager of a Latin group now playing at the Cuban Club in Tampa Florida who are going to sing for you some of their traditional Cuban songs.  I am the pianist of the unit, Art Pages, and will play some of them for you myself.",Art Pages
00:15:22,Herbert Halpert,"Uh, Mr. Pages, Will you tell me where are the people from?",Herbert Halpert
00:15:27,Art Pages,"Uh, all these units, all of the actors in the unit are all native Cubans and they came from Cuba two or three months ago.",Art Pages
00:15:37,Herbert Halpert,"Uh, will you, can you, tell me in their performance do they play some of the old songs? The traditional songs?",Herbert Halpert
00:15:43,Art Pages,They have to for they are requested to do so.,Art Pages
00:15:50,Herbert Halpert,Good. Go ahead.,Herbert Halpert
00:15:51,Art Pages,"Uh, the melody that Estella [inaudible] will sing for you next is a typical Cuban melody. This is sung in the country by the peasants. It's probably uh . . . I don't know what to say.",Art Pages
00:16:11,Herbert Halpert,"Well, stay there. How long has she known this song?",Herbert Halpert
00:16:16,Art Pages,"Oh, that, she's probably heard it all her life from her parents and so forth.",Art Pages
00:16:21,Herbert Halpert,"Well, you go up there and ask her. You ask her.",Herbert Halpert
00:16:24,Art Pages,Do you want me to do that in Spanish?,Art Pages
00:16:25,Herbert Halpert,Go ahead and ask her.,Herbert Halpert
00:16:26,Art Pages,In Spanish?,Art Pages
00:16:27,Herbert Halpert,Sure. Go ahead.,Herbert Halpert
00:16:29,Art Pages,AP asks question in Spanish and Estella responds.,Art Pages
00:16:48,Herbert Halpert,Explain that to us what she said.,Herbert Halpert
00:16:51,Art Pages,"Uh, she has said that she has, uh, heard that melody, of course, recently due to the fact that she is very young but she has heard her parents say that have heard it for years and years back.",Art Pages
00:17:04,Herbert Halpert,"Ok, ask her to stay up, go up there and [inaudible] on the piano",Herbert Halpert
00:17:07,Art Pages,Estella [inaudible] will sing this melody for you now.,Art Pages
00:18:28,Art Pages,"Uh, the Cuban persons use songs to call on their loved ones especially at night or in the morning. The song that Estella [inaudible] sang is one of them. Uh, roughly, it is morning and he is singing to his loved one and though he claims that the sun is just out and he can see everything clearly, it seems like there is nothing around until he's seen her [distortion].",Art Pages
00:19:05,Unknown,Man speaks in Spanish,Unknown
00:21:10,Herbert Halpert,[inaudible] Explain what that song tells us [inaudible],Herbert Halpert
00:21:18,Art Pages,"The young man that you have just heard sing is Carlos Poz. He is the blackfaced comedian of the unit, of the Cuban unit. He just sung for you a typical African song, songs that were sung by the slaves when they were brought to Cuba and he has picked that from tradition. That is, he has heard that type of song over and over.  It is always heard in Cuba.",Art Pages
00:21:50,Herbert Halpert,"How is it, how is it accompanied when it is heard in Cuba?",Herbert Halpert
00:21:53,Art Pages,"Uh, they usually use Cuban drums and gourds and sticks like they used to use in the days of the slaves when they didn't have any musical instruments and they were accompanied by sticks and drums and so on.",Art Pages
00:22:10,Herbert Halpert,And that song is part of the regular [inaudible] around cane?,Herbert Halpert
00:22:14,Art Pages,"It is. We use it here, we use that type of songs here often.",Art Pages
00:22:20,Herbert Halpert,Is it sung in Cuba by the whites or by the negroes?,Herbert Halpert
00:22:24,Art Pages,"Well, no, they, uh, it has been picked from the negroes but it is used by actors.",Art Pages
00:22:32,Herbert Halpert,What's that?,Herbert Halpert
00:22:34,Carita Doggett Corse,[Inaudible],Carita Doggett Corse
00:22:36,Art Pages,"Oh, they love it. It's such a strange rhythm to most of all people that they prefer to hear that song to any other.",Art Pages
00:22:45,Herbert Halpert,"Thank you, Mr. Pages [distortion].",Herbert Halpert
00:22:51,Art Pages,"Uh, the song that you have just heard Carlos Poz sing, it's sort of a negro song. It is a negro telling his girl not to mix with another, uh, tribe, because he does not consider them as good as they are and does not want to, uh,  mix the tribes. And --",Art Pages
00:23:13,Herbert Halpert,What do you mean by mix the tribes?,Herbert Halpert
00:23:14,Art Pages,"Well, he does that, it seems like the, uh, girl is in love with someone and she, uh, goes to a nearby tribe and he does not want her to continue to go over there and he is asking her to please stay in her, in their grounds.",Art Pages
00:23:28,Herbert Halpert,He doesn't want to have children from the other tribe.,Herbert Halpert
00:23:30,Art Pages,That's right [laughter] [distortion].,Art Pages
00:25:40,Art Pages,"The song you have just heard was sung by [inaudible] Martinez. The name of the song is 'Merce'. It is a different type of song that have been sung before, for this one is dance, in dance halls in Cuba, that is that rhythm. You have also heard some Cuban drums played by Roman [inaudible] and Mr. Delfino was playing gourds and I was at the piano, Art Pages.",Art Pages
00:26:11,Herbert Halpert,[inaudible],Herbert Halpert
00:26:12,Art Pages,"Carlos Poz helped her out by helping her sing in the montonu, that is the fast part of the number. The number is divided into two parts. The first part is sung a little slower than the second part. The second part is a little faster. They keep on getting faster until, uh, it takes up to a very fast tempo.",Art Pages
00:26:33,Herbert Halpert,"Now would you explain, translate what the words of the song are, what the words of the song are about? Roughly.",Herbert Halpert
00:26:39,Carita Doggett Corse,What is it about? What is it about?,Carita Doggett Corse
00:26:39,Herbert Halpert,"Roughly, just offhand what does it say?",Herbert Halpert
00:26:43,Carita Doggett Corse,What is it about? What is it about?,Carita Doggett Corse
00:26:43,Herbert Halpert,If you give me a chance. Would you cut it out? [Distortion],Herbert Halpert
00:26:50,Herbert Halpert,Alright.,Herbert Halpert
00:26:51,Art Pages,"The idea of the song is uh, the name of the song is 'Merce' and that's a, uh, name, a proper name. It's a negro girl's name and she is supposed to be the most popular of the party and the song refers to her popularity, that is her way of dancing and acting and speaking and so forth and everybody sings to her beauty and her pep, would you say? And the whole song is based on  her.",Art Pages
00:27:22,Herbert Halpert,[Inaudible],Herbert Halpert
00:27:23,Carita Doggett Corse,And did you get this one in [audible]. Did you say that?,Carita Doggett Corse
00:28:52,Herbert Halpert,"Can you stand up there and explain, give me names [inaudible]? The manager. Can you give his name?",Herbert Halpert
00:29:02,Art Pages,"Uh, the song that you heard was sung by Gilberto Elfino, manager of the unit. And the name of the song is 'Nena'.",Art Pages
00:29:13,Herbert Halpert,"Now, can you tell m, what type of song is it?",Herbert Halpert
00:29:17,Art Pages,"Uh, this is probably the oldest type of Cuban song that has ever, uh, that has been known to be the oldest.",Art Pages
00:29:28,Herbert Halpert,"And, uh, where is it learned and how is such a song learned?",Herbert Halpert
00:29:31,Art Pages,"Uh, there is no way of tracing it to its author or its originality. It has just been picked from one generation to the other.",Art Pages
00:29:42,Herbert Halpert,"Now, can you tell what it's about that song? What does it say?",Herbert Halpert
00:29:46,Art Pages,"Well, I don't know [distortion].",Art Pages
00:29:56,Unknown,Man speaks in Spanish.,Unknown
00:30:01,Art Pages,"Uh, this is a typical song that is sung to a girl by a window, a Spanish, uh, window. And that's about all I know about the song.",Art Pages
00:30:15,Herbert Halpert,"Well, did you get the words from them?",Herbert Halpert
00:30:17,Art Pages,"No, I couldn't.",Art Pages
00:30:18,Herbert Halpert,Ask them what the words are and you translate.,Herbert Halpert
00:30:20,Unknown,Men speak Spanish,Unknown
00:30:35,Art Pages,"He just sing to her and telling her how much he loves her, and uh, i other words, uh, calling her to the window in order to start a conversation or something, a song to start a conversation [distortion].",Art Pages
00:30:52,Art Pages,"We are now going to give you an idea of the different Cuban rhythms. The first one is a song, that's a slow rumba.",Art Pages
00:31:11,Art Pages,"Now, he would play a rumba. That's a faster rhythm.",Art Pages
00:31:21,Art Pages,And now a bembe. That's a typical African rhythm.,Art Pages
00:31:32,Art Pages,"And now, a conga.",Art Pages
00:31:43,Art Pages,"And now, man. This is probably the oldest rhythm going.",Art Pages
00:31:52,Herbert Halpert,"Just tell him, tell him --",Herbert Halpert
00:31:54,Art Pages,This was done by Ramon [inaudible] a Cuban drummer.,Art Pages
00:31:58,Herbert Halpert,"And Art Pages, a pianist, was giving the announcement.",Herbert Halpert
00:32:11,Distortion,[Distortion],Distortion
00:34:44,Herbert Halpert,[inaudible],Herbert Halpert
00:34:50,Roberts,"Roberts (R): A very long time ago I learned about a funny song, that's all I know. If you like funny songs.",Roberts
00:34:58,Herbert Halpert,Where did you learn that song?,Herbert Halpert
00:34:58,Roberts,I learned it all in the [inaudible].,Roberts
00:35:01,Herbert Halpert,Go ahead and sing it to me.,Herbert Halpert
00:35:34,Herbert Halpert,"[inaudible] the last lines of that song, Mr. Roberts. Repeat it for me.",Herbert Halpert
00:35:39,Roberts,The last lines?,Roberts
00:35:43,Herbert Halpert,You said there's something in my . . . there's something in my hammond.,Herbert Halpert
00:35:54,Roberts,yes [inaudible].,Roberts
00:36:01,Herbert Halpert,What did you mean by that last line?,Herbert Halpert
00:36:04,Roberts,"I meant that uh, to clear my throat. There's something in my hammond, see? And then I said [clears throat], There's something in my hammond, See? That's the end of the song when I said there's something in my hammond.",Roberts
00:38:59,Herbert Halpert,"What song are you going to sing next, Mr. Roberts?",Herbert Halpert
00:39:03,Roberts,Sweet Robin One Morning in May' [inaudible],Roberts
00:39:54,Roberts,"[Inaudible] down the well and he'd sit there down in the well and they'd call his name so when after he got a song up [inaudible] and he said it so much, he said, 'Is that your name, Betty?' Oh, he said, 'that's my name Betty.'",Roberts
00:40:21,Herbert Halpert,"Will you tell us the riddle that you're talking about, Mr. Roberts?",Herbert Halpert
00:40:24,Roberts,"Oh, about the men?",Roberts
00:40:26,Herbert Halpert,That's right.,Herbert Halpert
00:40:28,Roberts,"How a fellow knows about his name [Distortion] He'd look in the well and then see his picture in the well and he'd say [inaudible] He said these words [inaudible] 'Is that your name, Betty?' Oh, he said, 'that's my name Betty.' That was the first time he ever told anybody's name.",Roberts
00:44:23,Inaudible,[Inaudible],Inaudible
00:46:14,Herbert Halpert,[Inaudible],Herbert Halpert
00:46:55,Roberts,What do you want me to sing now?,Roberts
00:47:22,Inaudible,[Inaudible],Inaudible
00:49:04,Inaudible,[Inaudible],Inaudible
00:49:46,Roberts,"Feel like I could give you a sample [inaudible]. I'm going to sing it now, eh?",Roberts
00:51:52,Inaudible,[Inaudible],Inaudible
00:52:50,Inaudible,[Inaudible],Inaudible
00:53:04,Roberts,"Well, I want to tell you just about how good tobacco is.",Roberts
00:55:25,Roberts,". . . up there, up there from where the hurricanes always start from, what's it called, Puerto Rico.",Roberts
00:55:32,Herbert Halpert,He was the one who told you that story?,Herbert Halpert
00:55:34,Roberts,Yes.,Roberts
00:55:35,Herbert Halpert,Was he a Puerto Rican?,Herbert Halpert
00:55:36,Roberts,Yes.,Roberts
00:55:38,Herbert Halpert,How'd he come to tell it to you?,Herbert Halpert
00:55:40,Roberts,I don't know [laughter]. Just setting down talking to him one day.,Roberts
00:55:45,Herbert Halpert,Where were you then?,Herbert Halpert
00:55:46,Roberts,I was here in Florida and he was in Florida too [inaudible],Roberts
00:55:59,Inaudible,[Inaudible],Inaudible
00:56:02,Inaudible,[Inaudible],Inaudible
00:56:11,Inaudible,[Inaudible],Inaudible
00:56:18,Herbert Halpert,"What part of the Bahamas Where were you born, Mr. Roberts? What part of the Bahamas? How far from Nassau?",Herbert Halpert
00:56:21,Roberts,I was born in the Abacos.,Roberts
00:56:24,Herbert Halpert,"Oh, Abacos.",Herbert Halpert
00:56:26,Roberts,"[Inaudible] part of Abacos, yes.",Roberts
00:56:29,Herbert Halpert,How far from Nassau?,Herbert Halpert
00:56:32,Roberts,About a hundred miles from Nassau [inaudible],Roberts
00:56:39,Herbert Halpert,"go ahead and tell us this riddle, then.",Herbert Halpert
00:57:47,Herbert Halpert,What's the answer to the riddle?,Herbert Halpert
00:57:49,Roberts,The answer to the riddle [inaudible],Roberts
